date,firmco,name,end_price
2000-02-29,G1010,에너지,807.39
2000-03-31,G1010,에너지,900.95
2000-04-28,G1010,에너지,762.25
2000-05-31,G1010,에너지,689.08
2000-06-30,G1010,에너지,785.76
2000-07-31,G1010,에너지,721.35
2000-08-31,G1010,에너지,716.58
2000-09-29,G1010,에너지,713.04
2000-10-31,G1010,에너지,600.32
2000-11-30,G1010,에너지,537.79
2000-12-26,G1010,에너지,584.89
2001-01-31,G1010,에너지,616.32
2001-02-28,G1010,에너지,613.47
2001-03-30,G1010,에너지,581.08
2001-04-30,G1010,에너지,655.94
2001-05-31,G1010,에너지,745.32
2001-06-29,G1010,에너지,723.83
2001-07-31,G1010,에너지,604.23
2001-08-31,G1010,에너지,649.36
2001-09-28,G1010,에너지,603.02
2001-10-31,G1010,에너지,622.93
2001-11-30,G1010,에너지,745.72
2001-12-28,G1010,에너지,736.29
2002-01-31,G1010,에너지,712.43
2002-02-28,G1010,에너지,781.84
2002-03-29,G1010,에너지,893.58
2002-04-30,G1010,에너지,885.77
2002-05-31,G1010,에너지,884.24
2002-06-28,G1010,에너지,853.46
2002-07-31,G1010,에너지,720.78
2002-08-30,G1010,에너지,734.42
2002-09-30,G1010,에너지,618.22
2002-10-31,G1010,에너지,657.44
2002-11-29,G1010,에너지,696.93
2002-12-30,G1010,에너지,599.98
2003-01-30,G1010,에너지,555.15
2003-02-28,G1010,에너지,580.04
2003-03-31,G1010,에너지,457.37
2003-04-30,G1010,에너지,568.72
2003-05-30,G1010,에너지,601.69
2003-06-30,G1010,에너지,618.24
2003-07-31,G1010,에너지,671.6
2003-08-29,G1010,에너지,792.02
2003-09-30,G1010,에너지,783.59
2003-10-31,G1010,에너지,1014.86
2003-11-28,G1010,에너지,1144.22
2003-12-30,G1010,에너지,1143.42
2004-01-30,G1010,에너지,1389.35
2004-02-27,G1010,에너지,1765.3
2004-03-31,G1010,에너지,1756.94
2004-04-30,G1010,에너지,1966.49
2004-05-31,G1010,에너지,1974.35
2004-06-30,G1010,에너지,1888.59
2004-07-30,G1010,에너지,1972.38
2004-08-31,G1010,에너지,1797.01
2004-09-30,G1010,에너지,2124
2004-10-29,G1010,에너지,2213.48
2004-11-30,G1010,에너지,2435.25
2004-12-30,G1010,에너지,2252.12
2005-01-31,G1010,에너지,2202.17
2005-02-28,G1010,에너지,2532.55
2005-03-31,G1010,에너지,2484.78
2005-04-29,G1010,에너지,2273.95
2005-05-31,G1010,에너지,2241.31
2005-06-30,G1010,에너지,2382.38
2005-07-29,G1010,에너지,2222.18
2005-08-31,G1010,에너지,2227.55
2005-09-30,G1010,에너지,2575.42
2005-10-31,G1010,에너지,2311.99
2005-11-30,G1010,에너지,2304.61
